801위: 수가(32회)
801위: 맞는(32회)
801위: 되는데(32회)
801위: 8월(32회)
801위: 고(32회)
801위: 오지네(32회)
801위: 만나서(32회)
801위: 카페(32회)
801위: 셤(32회)
801위: 실제(32회)
801위: 굳굳(32회)
801위: (shame)(32회)
801위: 인스타(32회)
801위: 시진핑(32회)
801위: 매우(32회)
801위: 조심해라(32회)
838위: 일베(31회)
838위: 않다(31회)
838위: 클라스(31회)
838위: 현실(31회)
838위: 입니다(31회)
838위: 헠헠(31회)
838위: 친일(31회)
838위: 듣고(31회)
838위: 전라도(31회)
838위: 그리(31회)
838위: 국가(31회)
838위: 이해가(31회)
838위: 그저(31회)
838위: 으어어(31회)
838위: 있습니다(31회)
838위: 병신(31회)
838위: 민주당(31회)
838위: 만나면(31회)
838위: 자한당(31회)
838위: 아닐까(31회)
838위: 순간(31회)
838위: 제에발(31회)
838위: 좌파(31회)
838위: 관심(31회)
838위: 홍준표가(31회)
838위: 있으니(31회)
838위: 만들어서(31회)
838위: 김제동(31회)
866위: 손(30회)
866위: 조금(30회)
866위: 애들(30회)
866위: 거야(30회)
866위: 기분(30회)
866위: 있네(30회)
866위: 반(30회)
866위: 마니(30회)
866위: 크~~~~(30회)
866위: 예전에(30회)
866위: 처럼(30회)
866위: 진정한(30회)
866위: 끝나면(30회)
866위: 가끔(30회)
866위: 뭐라고(30회)
866위: 않으면(30회)
866위: 군대(30회)
866위: 대해(30회)
866위: 당근(30회)
866위: 인정(30회)
866위: 목동(30회)
866위: 잇어서(30회)
866위: 않나(30회)
866위: 의미가(30회)
866위: 저건(30회)
866위: 못한(30회)
866위: 좋아(30회)
866위: 아침(30회)
866위: 보통(30회)
866위: 교육부(30회)
866위: 살고(30회)
866위: 알고보니(30회)
898위: 놈이(29회)
898위: 겁니다(29회)
898위: 조선일보(29회)
898위: 한국에(29회)
898위: 오호(29회)
898위: 주고(29회)
898위: 나음(29회)
898위: 어허(29회)
898위: 이유는(29회)
898위: 알지(29회)
898위: 못하는(29회)
898위: 맞지(29회)
898위: 폰(29회)
898위: 차이(29회)
898위: 그나마(29회)
898위: 일을(29회)
898위: 끝남(29회)
898위: 더러운(29회)
898위: 온(29회)
898위: 옛날에(29회)
898위: 도(29회)
898위: 2년(29회)
898위: 답(29회)
898위: 일은(29회)
898위: 하냐(29회)
898위: 카톡(29회)
898위: 성태가(29회)
898위: 당시(29회)
898위: 사랑(29회)
898위: 노트(29회)
898위: (짜증)(29회)
898위: ㅇㅇ..(29회)
930위: 기억(28회)
930위: 모두가(28회)
930위: 닌텐도(28회)
930위: 왜냐면(28회)
930위: 문재인은(28회)
930위: 사회(28회)
930위: 왠만하면(28회)
930위: 늦게(28회)
930위: 탱크(28회)
930위: 가즈아(28회)
930위: 새끼들(28회)
930위: 저녁에(28회)
930위: 미국의(28회)
930위: 좋아서(28회)
930위: 봐(28회)
930위: 모른다(28회)
930위: 경제(28회)
930위: 정신(28회)
930위: 모르겠지만(28회)
930위: 가는데(28회)
930위: (헉)(헉)(헉)(28회)
930위: 생각보다(28회)
930위: 적어도(28회)
930위: 과사(28회)
930위: 좋네(28회)
930위: 사건(28회)
930위: 북한이(28회)
930위: 냄새(28회)
930위: 가노(28회)
930위: 싶은(28회)
930위: 눈(28회)
930위: (delighted)(28회)
930위: 영문과(28회)
930위: 있어도(28회)
930위: 여자를(28회)
930위: 업로딩(28회)
930위: 아메리카(28회)
930위: 나한테(28회)
930위: 두고(28회)
969위: 국민들(27회)
969위: 안남(27회)
969위: 사서(27회)
969위: (winks)(27회)
969위: 중국의(27회)
969위: 놀고(27회)
969위: (감동)(27회)
969위: 생각하면(27회)
969위: 말한(27회)
969위: 노도까(27회)
969위: 나라를(27회)
969위: 생각을(27회)
969위: 대한민국(27회)
969위: 당연(27회)
969위: 생각나네(27회)
969위: 뭔지(27회)
969위: 법(27회)
969위: 필요(27회)
969위: 가치가(27회)
969위: 개웃기네(27회)
969위: 경상도(27회)
969위: 씨발(27회)
969위: 저게(27회)
969위: 다르다(27회)
969위: 옆에(27회)
969위: 기만이랑(27회)
969위: 어느(27회)
969위: 올(27회)
969위: 먹는(27회)
969위: 지가(27회)
969위: 그렇다(27회)
969위: 적이(27회)
969위: 문화(27회)
969위: 택시(27회)
969위: 쓸(27회)
969위: 킹타이거(27회)
969위: 마(27회)
969위: 대통령님(27회)
969위: 하더라(27회)
969위: 일본에(27회)
969위: 먹으러(27회)
1010위: 일본의(26회)
1010위: 할게(26회)
1010위: 암(26회)
1010위: 아무(26회)
1010위: ㅎㅎㅎㅎㅎ(26회)
1010위: 노(26회)
1010위: 웃긴게(26회)
1010위: 아무것도(26회)
1010위: ㅇㅈ?(26회)
1010위: 이름이(26회)
1010위: 한국인(26회)
1010위: 충격(26회)
1010위: 옛날(26회)
1010위: 논문(26회)
1010위: 잇냐(26회)
1010위: 다음에(26회)
1010위: ㄷㄷㄷㄷㄷㄷㄷ(26회)
1010위: 높은(26회)
1010위: 중촌동(26회)
1010위: 크게(26회)
1010위: 강제로(26회)
1010위: 확실히(26회)
1010위: 남(26회)
1010위: 대덕대(26회)
1010위: 담주(26회)
1010위: 뒤에서(26회)
1010위: 애(26회)
1010위: 문재앙(26회)
1010위: 있지만(26회)
